STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-13,0.0,",,X",30.0,",,X",17.8,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-14,0.0,",,X",31.7,",,X",16.1,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-15,0.0,",,X",33.3,",,X",18.9,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-16,0.0,",,X",38.3,",,X",16.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-17,0.0,",,X",37.2,",,X",16.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-18,0.0,",,X",35.6,",,X",16.1,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-19,0.0,",,X",36.1,",,X",16.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-20,0.0,",,X",36.1,",,X",18.3,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-21,0.0,",,X",35.6,",,X",17.8,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-22,0.0,"T,,X",36.7,",,X",21.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-23,0.0,",,X",30.0,",,X",20.6,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-24,0.0,",,X",32.8,",,X",16.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-25,0.0,",,X",31.1,",,X",16.7,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-26,0.0,",,X",30.0,",,X",13.3,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-27,0.0,",,X",30.0,",,X",14.4,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-28,0.0,",,X",28.3,",,X",15.0,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-29,0.0,"T,,X",28.9,",,X",13.3,",,X"
MOW00013020,"SIDI SLIMANE, MO",34.23333,-6.06667,55.2,1951-09-30,0.0,",,X",28.9,",,X",16.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1949-12-11,0.0,"T,,X",14.4,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1949-12-12,0.5,",,X",12.2,",,X",5.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1949-12-13,13.2,",,X",12.8,",,X",7.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1949-12-14,9.1,",,X",15.0,",,X",10.6,",,X"
